Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
4.30334	18	257	5	LastDelay	0.00334439	3344.39	1	3
4.30334	18	257	5	FullDelay	0.00334439	3344.39	1	3
4.35808	12	257	61	LastDelay	0.05808	58080	1	3
4.35808	12	257	61	FullDelay	0.05808	58080	1	3
4.36659	31	257	12	LastDelay	0.066592	66592	1	3
4.36659	31	257	12	FullDelay	1.76659	1.76659e+06	2	3
4.45808	12	257	52	LastDelay	0.05808	58080	1	3
4.45808	12	257	52	FullDelay	0.05808	58080	1	3
4.46659	31	257	18	LastDelay	0.066592	66592	1	3
4.46659	31	257	18	FullDelay	2.76659	2.76659e+06	3	3
4.4751	17	257	13	LastDelay	0.075104	75104	1	3
4.4751	17	257	13	FullDelay	0.075104	75104	1	3
4.48362	18	257	48	LastDelay	0.083616	83616	1	3
4.48362	18	257	48	FullDelay	0.083616	83616	1	3
4.48691	26	257	6	LastDelay	0.086908	86908	1	5
4.48691	26	257	6	FullDelay	0.286908	286908	2	5
4.50227	18	257	11	LastDelay	0.00226628	2266.28	1	3
4.50227	18	257	11	FullDelay	0.00226628	2266.28	1	3
4.52915	30	257	87	LastDelay	0.129152	129152	1	5
4.52915	30	257	87	FullDelay	0.129152	129152	1	5
4.55808	12	257	96	LastDelay	0.05808	58080	1	3
4.55808	12	257	96	FullDelay	0.05808	58080	1	3
4.56659	31	257	21	LastDelay	0.066592	66592	1	3
4.56659	31	257	21	FullDelay	2.26659	2.26659e+06	2	3
4.5751	17	257	62	LastDelay	0.075104	75104	1	3
4.5751	17	257	62	FullDelay	0.075104	75104	1	3
4.62064	26	257	65	LastDelay	0.12064	120640	1	5
4.62064	26	257	65	FullDelay	4.52064	4.52064e+06	3	5
4.62915	30	257	77	LastDelay	0.129152	129152	1	5
4.62915	30	257	77	FullDelay	0.129152	129152	1	5
4.62967	12	257	12	LastDelay	0.0296731	29673.1	1	3
4.62967	12	257	12	FullDelay	0.0296731	29673.1	1	3
4.63783	18	257	8	LastDelay	0.037832	37832	1	3
4.63783	18	257	8	FullDelay	0.037832	37832	1	3
4.65812	31	257	25	LastDelay	0.05812	58120	1	3
4.65812	31	257	25	FullDelay	2.25812	2.25812e+06	2	3
4.66663	17	257	1	LastDelay	0.066632	66632	1	3
4.66663	17	257	1	FullDelay	3.46663	3.46663e+06	8	3
4.70366	26	257	1	LastDelay	0.00365601	3656.01	1	5
4.70366	26	257	1	FullDelay	3.50366	3.50366e+06	3	5
