Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
580.716	0	257	5	LastDelay	0.116256	116256	1	3
580.716	0	257	5	FullDelay	7.11626	7.11626e+06	2	3
580.716	4	257	5	LastDelay	2.11626	2.11626e+06	1	3
580.716	4	257	5	FullDelay	2.11626	2.11626e+06	1	3
580.722	6	257	17	LastDelay	0.121691	121691	1	5
580.722	6	257	17	FullDelay	0.121691	121691	1	5
580.725	4	257	26	LastDelay	3.52482	3.52482e+06	1	3
580.725	4	257	26	FullDelay	3.52482	3.52482e+06	1	3
580.725	5	257	26	LastDelay	0.0248229	24822.9	1	3
580.725	5	257	26	FullDelay	95.0248	9.50248e+07	14	3
580.734	3	257	14	LastDelay	0.0339297	33929.7	1	4
580.734	3	257	14	FullDelay	4.03393	4.03393e+06	3	4
580.738	0	257	8	LastDelay	0.0382684	38268.4	1	3
580.738	0	257	8	FullDelay	7.03827	7.03827e+06	3	3
580.738	4	257	8	LastDelay	1.03827	1.03827e+06	1	3
580.738	4	257	8	FullDelay	6.13827	6.13827e+06	3	3
580.738	5	257	8	LastDelay	0.738268	738268	1	3
580.738	5	257	8	FullDelay	0.838268	838268	2	3
580.748	11	257	21	LastDelay	0.148331	148331	1	6
580.748	11	257	21	FullDelay	0.148331	148331	1	6
580.775	1	257	3	LastDelay	0.575337	575337	1	3
580.775	1	257	3	FullDelay	3.27534	3.27534e+06	4	3
580.775	4	257	3	LastDelay	0.0753373	75337.3	1	3
580.775	4	257	3	FullDelay	5.97534	5.97534e+06	2	3
580.775	5	257	3	LastDelay	3.27534	3.27534e+06	1	3
580.775	5	257	3	FullDelay	3.97534	3.97534e+06	2	3
580.802	6	257	1	LastDelay	0.102201	102201	1	5
580.802	6	257	1	FullDelay	4.2022	4.2022e+06	5	5
580.802	7	257	1	LastDelay	1.5022	1.5022e+06	1	5
580.802	7	257	1	FullDelay	2.3022	2.3022e+06	2	5
580.802	10	257	1	LastDelay	1.3022	1.3022e+06	1	5
580.802	10	257	1	FullDelay	7.1022	7.1022e+06	4	5
580.832	3	257	34	LastDelay	0.0323877	32387.7	1	4
580.832	3	257	34	FullDelay	90.3324	9.03324e+07	10	4
580.835	6	257	5	LastDelay	0.0351362	35136.2	1	5
580.835	6	257	5	FullDelay	5.23514	5.23514e+06	2	5
580.835	7	257	5	LastDelay	0.0351362	35136.2	1	5
580.835	7	257	5	FullDelay	1.93514	1.93514e+06	2	5
580.835	2	257	5	LastDelay	3.93514	3.93514e+06	1	5
580.835	2	257	5	FullDelay	3.93514	3.93514e+06	1	5
580.835	10	257	5	LastDelay	0.735136	735136	1	5
580.835	10	257	5	FullDelay	2.53514	2.53514e+06	3	5
580.838	9	257	3	LastDelay	0.137856	137856	1	6
580.838	9	257	3	FullDelay	2.53786	2.53786e+06	2	6
580.848	11	257	34	LastDelay	0.147865	147865	1	6
580.848	11	257	34	FullDelay	0.147865	147865	1	6
580.868	1	257	4	LastDelay	1.26822	1.26822e+06	1	3
580.868	1	257	4	FullDelay	1.26822	1.26822e+06	1	3
580.868	0	257	4	LastDelay	2.96822	2.96822e+06	1	3
580.868	0	257	4	FullDelay	4.86822	4.86822e+06	2	3
580.868	4	257	4	LastDelay	0.06822	68220	1	3
580.868	4	257	4	FullDelay	5.56822	5.56822e+06	2	3
580.868	5	257	4	LastDelay	2.36822	2.36822e+06	1	3
580.868	5	257	4	FullDelay	2.36822	2.36822e+06	1	3
580.877	0	257	32	LastDelay	0.076716	76716	1	3
580.877	0	257	32	FullDelay	41.3767	4.13767e+07	4	3
580.885	1	257	27	LastDelay	1.38521	1.38521e+06	1	3
580.885	1	257	27	FullDelay	1.38521	1.38521e+06	1	3
580.885	0	257	27	LastDelay	1.28521	1.28521e+06	1	3
580.885	0	257	27	FullDelay	3.78521	3.78521e+06	2	3
580.885	4	257	27	LastDelay	2.98521	2.98521e+06	1	3
580.885	4	257	27	FullDelay	2.98521	2.98521e+06	1	3
580.885	5	257	27	LastDelay	0.085212	85212	1	3
580.885	5	257	27	FullDelay	71.1852	7.11852e+07	12	3
580.887	11	257	14	LastDelay	0.086732	86732	1	6
580.887	11	257	14	FullDelay	0.086732	86732	1	6
580.894	1	257	13	LastDelay	0.093708	93708	1	3
580.894	1	257	13	FullDelay	37.9937	3.79937e+07	3	3
580.894	5	257	13	LastDelay	2.29371	2.29371e+06	1	3
580.894	5	257	13	FullDelay	2.29371	2.29371e+06	1	3
580.919	8	257	66	LastDelay	3.81877	3.81877e+06	1	5
580.919	8	257	66	FullDelay	49.5188	4.95188e+07	4	5
580.919	10	257	66	LastDelay	0.0187665	18766.5	1	5
580.919	10	257	66	FullDelay	85.5188	8.55188e+07	9	5
580.92	9	257	4	LastDelay	0.0196105	19610.5	1	6
580.92	9	257	4	FullDelay	2.91961	2.91961e+06	3	6
580.924	8	257	27	LastDelay	0.124101	124101	1	5
580.924	8	257	27	FullDelay	80.3241	8.03241e+07	11	5
580.924	7	257	27	LastDelay	2.3241	2.3241e+06	1	5
580.924	7	257	27	FullDelay	91.8241	9.18241e+07	13	5
580.924	10	257	27	LastDelay	1.3241	1.3241e+06	1	5
580.924	10	257	27	FullDelay	34.9241	3.49241e+07	6	5
580.929	11	257	64	LastDelay	0.029276	29276	1	6
580.929	11	257	64	FullDelay	0.029276	29276	1	6
580.946	2	257	44	LastDelay	0.146178	146178	1	5
